
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,41,44,41,22,42,41,21,2,2,300,207,150,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,54,58,54,19,55,54,18,3,2,471,207,157,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,41,41,41,41,41,41,41,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,14,16,14,8,14,14,7,2,2,235,207,117,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,25,25,25,12,25,25,12,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,37,43,37,14,37,37,12,3,2,406,207,135,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,137,159,137,39,140,137,35,4,2,499,207,124,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,24,24,24,24,24,24,24,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,303,324,303,81,305,303,76,4,2,472,207,118,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,16,16,16,16,16,16,16,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,43,47,43,23,43,43,21,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,28,28,28,14,28,28,14,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,5,5,5,2,5,5,2,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,7,7,7,3,7,7,3,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,13,14,13,7,13,13,6,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,11,11,11,11,11,11,11,1,1,207,207,207,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,177,229,177,76,178,177,59,3,2,471,207,157,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,116,135,116,33,125,116,31,4,3,474,207,118,Yes
