DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,9,91.68030055141489,IBk,true,true,false,0.4128686327077748,0.6470588235294118,0.7664143190315774,0.37095962077855327,154.0,219.0,916.0,84.0,0.5672268907563025,1059
STORM,9,91.68030055141489,IBk,true,false,true,1.0,0.02100840336134454,0.7707363121460038,0.03426322001817326,5.0,0.0,1135.0,233.0,0.5168067226890757,2330
STORM,10,84.12601315185809,RandomForest,false,false,false,0.7922077922077922,0.15926892950391644,0.8087053872327489,0.23366276944762837,61.0,16.0,2715.0,322.0,0.6370757180156658,3236
STORM,10,84.12601315185809,RandomForest,true,false,false,0.7534246575342466,0.14360313315926893,0.7895963853751483,0.21012326383034233,55.0,18.0,2713.0,328.0,0.6057441253263708,3298
STORM,10,84.12601315185809,RandomForest,true,true,false,0.30335861321776814,0.7310704960835509,0.7857554640511754,0.3085902830648602,280.0,643.0,2088.0,103.0,0.5613577023498695,1673
STORM,10,84.12601315185809,RandomForest,true,false,true,NaN,0.0,0.7913746339532665,0.0,0.0,0.0,2731.0,383.0,0.5953002610966057,3830
STORM,10,84.12601315185809,NaiveBayes,false,false,false,0.6363636363636364,0.018276762402088774,0.7441382330136629,0.02886359346404171,7.0,4.0,2727.0,376.0,0.2558746736292428,3764
STORM,10,84.12601315185809,NaiveBayes,true,false,false,0.5,0.007832898172323759,0.7085914263561297,0.011674331883157847,3.0,3.0,2728.0,380.0,0.35509138381201044,3803
STORM,10,84.12601315185809,NaiveBayes,true,true,false,0.5714285714285714,0.010443864229765013,0.7970258314507163,0.016169078106157878,4.0,3.0,2728.0,379.0,0.5013054830287206,3793
STORM,10,84.12601315185809,NaiveBayes,true,false,true,0.5,0.005221932114882507,0.7085914263561297,0.007813292913629616,2.0,2.0,2729.0,381.0,0.34464751958224543,3812
STORM,10,84.12601315185809,IBk,false,false,false,0.7699115044247787,0.22715404699738903,0.589803465290213,0.31226500117285116,87.0,26.0,2705.0,296.0,0.4464751958224543,2986
STORM,10,84.12601315185809,IBk,true,false,false,0.6148148148148148,0.21671018276762402,0.5739684485163575,0.2739152726275502,83.0,52.0,2679.0,300.0,0.4281984334203655,3052
STORM,10,84.12601315185809,IBk,true,true,false,0.2649140546006067,0.6840731070496083,0.7106062967208523,0.24870648229759937,262.0,727.0,2004.0,121.0,0.5143603133159269,1937
STORM,10,84.12601315185809,IBk,true,false,true,0.5957446808510638,0.1462140992167102,0.5739282945162064,0.19581795052123488,56.0,38.0,2693.0,327.0,0.4046997389033943,3308
STORM,11,92.67728067274531,RandomForest,false,false,false,0.9767441860465116,0.1590909090909091,0.8101848579103633,0.23722155773194506,42.0,1.0,1285.0,222.0,0.5643939393939394,2221
STORM,11,92.67728067274531,RandomForest,true,false,false,0.7894736842105263,0.056818181818181816,0.7438704698619162,0.08508275434069514,15.0,4.0,1282.0,249.0,0.5189393939393939,2494
STORM,11,92.67728067274531,RandomForest,true,true,false,0.3727810650887574,0.4772727272727273,0.7290783024647721,0.2811103631419651,126.0,212.0,1074.0,138.0,0.5037878787878788,1592
STORM,11,92.67728067274531,RandomForest,true,false,true,NaN,0.0,0.7625329893020406,0.0,0.0,0.0,1286.0,264.0,0.5,2640
STORM,11,92.67728067274531,NaiveBayes,false,false,false,0.375,0.011363636363636364,0.6836635209010792,0.012161695928850722,3.0,5.0,1281.0,261.0,0.011363636363636364,2615
STORM,11,92.67728067274531,NaiveBayes,true,false,false,0.42857142857142855,0.011363636363636364,0.6747608275602055,0.013459700158999015,3.0,4.0,1282.0,261.0,0.3409090909090909,2614
STORM,11,92.67728067274531,NaiveBayes,true,true,false,0.625,0.03787878787878788,0.6475652716904661,0.05299469865022354,10.0,6.0,1280.0,254.0,0.311787072243346,2546
STORM,11,92.67728067274531,NaiveBayes,true,false,true,0.42857142857142855,0.011363636363636364,0.6747608275602055,0.013459700158999015,3.0,4.0,1282.0,261.0,0.056818181818181816,2614
STORM,11,92.67728067274531,IBk,false,false,false,0.8461538461538461,0.125,0.5825748739337386,0.18195422417594123,33.0,6.0,1280.0,231.0,0.4621212121212121,2316
STORM,11,92.67728067274531,IBk,true,false,false,0.918918918918919,0.12878787878787878,0.5888251684810782,0.19208346942153978,34.0,3.0,1283.0,230.0,0.4621212121212121,2303
STORM,11,92.67728067274531,IBk,true,true,false,0.3988439306358382,0.5227272727272727,0.6444298152599086,0.3213268800176192,138.0,208.0,1078.0,126.0,0.48484848484848486,1468
STORM,11,92.67728067274531,IBk,true,false,true,0.9,0.10227272727272728,0.5888251684810782,0.15427636066021036,27.0,3.0,1283.0,237.0,0.38636363636363635,2373
STORM,12,93.10314493072356,RandomForest,false,false,false,0.88,0.07829181494661921,0.8409153124455615,0.11796254707380223,22.0,3.0,1284.0,259.0,0.5658362989323843,2593
STORM,12,93.10314493072356,RandomForest,true,false,false,0.9552238805970149,0.2277580071174377,0.8330927672564683,0.3209582488533693,64.0,3.0,1284.0,217.0,0.5587188612099644,2173
STORM,12,93.10314493072356,RandomForest,true,true,false,0.5,0.6441281138790036,0.8296017940146054,0.45251124530927717,181.0,181.0,1106.0,100.0,0.5373665480427047,1181
STORM,12,93.10314493072356,RandomForest,true,false,true,1.0,0.0071174377224199285,0.855598138516288,0.011630744204961567,2.0,0.0,1287.0,279.0,0.5587188612099644,2790
STORM,12,93.10314493072356,NaiveBayes,false,false,false,0.6,0.010676156583629894,0.6356433206967015,0.014805739187412223,3.0,2.0,1285.0,278.0,0.010676156583629894,2782
STORM,12,93.10314493072356,NaiveBayes,true,false,false,0.5714285714285714,0.014234875444839857,0.6388937278616994,0.01923377638780295,4.0,3.0,1284.0,277.0,0.34519572953736655,2773
STORM,12,93.10314493072356,NaiveBayes,true,true,false,0.7,0.02491103202846975,0.6133467165495635,0.036239537752846565,7.0,3.0,1284.0,274.0,0.44285714285714284,2743
STORM,12,93.10314493072356,NaiveBayes,true,false,true,0.6666666666666666,0.014234875444839857,0.6388937278616994,0.020535370451634984,4.0,2.0,1285.0,277.0,0.06405693950177936,2772
STORM,12,93.10314493072356,IBk,false,false,false,0.8571428571428571,0.10676156583629894,0.6341570647620469,0.15638332303527858,30.0,5.0,1282.0,251.0,0.5231316725978647,2515
STORM,12,93.10314493072356,IBk,true,false,false,0.8648648648648649,0.11387900355871886,0.6420597986434285,0.1664985455078166,32.0,5.0,1282.0,249.0,0.5195729537366548,2495
