Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/MkClusterParam.java,25,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/MkTupleParam.java,29,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/MockedSources.java,26,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/NGrouping.java,27,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/NonRichBoltTracker.java,27,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/OpaqueMemoryTransactionalSpout.java,136,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/PrepareBatchBolt.java,27,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/SpoutTracker.java,68,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestAggregatesCounter.java,37,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestConfBolt.java,36,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestGlobalCount.java,33,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestJob.java,5,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestKryoDecorator.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestPlannerBolt.java,20,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/testing/TestPlannerSpout.java,49,0,0,0,0,0,0,3,2,1302,434,434,No
